feature,coef,abs_coef
DIAG1_oh_I619,1.653941148078009,1.653941148078009
DIAG1_oh_I609,1.5119629014894655,1.5119629014894655
DIAG1_oh_I618,1.3526130215980166,1.3526130215980166
DIAG1_oh_I629,1.2710360903934381,1.2710360903934381
DIAG1_oh_I710,1.2517065544307857,1.2517065544307857
DIAG1_oh_I608,1.233248087852073,1.233248087852073
DIAG1_oh_I612,1.1511118224803334,1.1511118224803334
DIAG1_oh_I850,1.133133303692676,1.133133303692676
DIAG1_oh_I200,-1.1223978862736879,1.1223978862736879
DIAG1_oh_I330,1.1163705924405856,1.1163705924405856
DIAG1_oh_I802,-1.0683592842660996,1.0683592842660996
GRUPO_EDAD_oh_90 y más,1.0645504203612977,1.0645504203612977
DIAG1_oh_I610,1.031756011885276,1.031756011885276
DIAG1_oh_I480,-1.0289861042209565,1.0289861042209565
DIAG1_oh_I10X,-1.0163222937342526,1.0163222937342526
DIAG1_oh_I611,0.9887303809337974,0.9887303809337974
DIAG1_oh_I489,-0.968912521596492,0.968912521596492
DIAG1_oh_I839,-0.9542101849936101,0.9542101849936101
DIAG1_oh_I830,-0.9165344216783554,0.9165344216783554
DIAG1_oh_I442,-0.9111255212099629,0.9111255212099629
